Numer;Komentarz;Grupa;Dzial;Osoba;Odpowiedz na
1;Komentarz459;Grupa 0;Dzial 2;Cora Moody ;NULL
2;Komentarz949;Grupa 0;Dzial 3;Jose Gilbert ;NULL
3;Komentarz748;Grupa 1;Dzial 1;Orlando Delgado;NULL
4;Komentarz38;Grupa 0;Dzial 2;Irene Sandoval;NULL
5;Komentarz449;Grupa 2;Dzial 3;Shawn Santos ;NULL
6;Komentarz110;Grupa 2;Dzial 1;Roy Weaver ;NULL
7;Komentarz260;Grupa 2;Dzial 1;Marta Clarke;NULL
8;Komentarz945;Grupa 0;Dzial 3;Lorraine Cortez ;NULL
9;Komentarz213;Grupa 1;Dzial 1;Brett Swanson ;NULL
10;Komentarz259;Grupa 1;Dzial 1;Brett Swanson ;NULL
11;Komentarz6;Grupa 0;Dzial 2;Noah Barnes ;NULL
12;Komentarz583;Grupa 2;Dzial 3;Shawn Santos ;NULL
13;Komentarz968;Grupa 0;Dzial 3;Paulette Mcdaniel ;NULL
14;Komentarz489;Grupa 2;Dzial 1;Roy Weaver ;NULL
15;Komentarz265;Grupa 1;Dzial 3;Izydor Patryk;NULL
16;Komentarz492;Grupa 0;Dzial 2;Jenna Dean;NULL
17;Komentarz689;Grupa 1;Dzial 3;Rex Casey ;NULL
18;Komentarz144;Grupa 1;Dzial 0;Alison Lyons;NULL
19;Komentarz937;Grupa 2;Dzial 0;Cecelia Joseph;NULL
20;Komentarz156;Grupa 1;Dzial 3;Rex Casey ;NULL
21;Komentarz366;Grupa 2;Dzial 2;Guy Moran ;NULL
22;Komentarz196;Grupa 2;Dzial 1;Alan Underwood ;NULL
23;Komentarz373;Grupa 0;Dzial 3;Dennis Kelley ;NULL
24;Komentarz961;Grupa 0;Dzial 2;Noah Barnes ;NULL
25;Komentarz540;Grupa 1;Dzial 3;Rex Casey ;NULL
26;Komentarz950;Grupa 1;Dzial 3;Izydor Patryk;6
27;Komentarz349;Grupa 2;Dzial 1;Marta Clarke;14
28;Komentarz989;Grupa 1;Dzial 2;Tanya Bridges ;11
29;Komentarz768;Grupa 1;Dzial 1;Brett Swanson ;8
30;Komentarz347;Grupa 2;Dzial 1;Roy Weaver ;5
31;Komentarz542;Grupa 1;Dzial 3;Izydor Patryk;4
32;Komentarz620;Grupa 1;Dzial 0;Alison Lyons;9
33;Komentarz892;Grupa 2;Dzial 1;Ramiro Thompson;1
34;Komentarz870;Grupa 1;Dzial 2;Tanya Bridges ;10
35;Komentarz930;Grupa 2;Dzial 0;Phil Briggs;19
36;Komentarz261;Grupa 0;Dzial 3;Lorraine Cortez ;4
37;Komentarz693;Grupa 1;Dzial 1;Ernestine Mathis ;10
38;Komentarz472;Grupa 1;Dzial 1;Elizabeth Conner;5
39;Komentarz104;Grupa 2;Dzial 1;Alan Underwood ;6
40;Komentarz825;Grupa 2;Dzial 2;Christina Nguyen;25
41;Komentarz334;Grupa 1;Dzial 0;Elsie Alvarez;10
42;Komentarz969;Grupa 0;Dzial 2;Jenna Dean;24
43;Komentarz890;Grupa 2;Dzial 2;Alberto Allison ;23
44;Komentarz282;Grupa 0;Dzial 3;Lorraine Cortez ;20
45;Komentarz631;Grupa 1;Dzial 1;Ernestine Mathis ;6
46;Komentarz282;Grupa 2;Dzial 2;Christina Nguyen;12
47;Komentarz816;Grupa 0;Dzial 3;Dennis Kelley ;9
48;Komentarz839;Grupa 1;Dzial 1;Elizabeth Conner;13
49;Komentarz546;Grupa 1;Dzial 0;Elsie Alvarez;22
50;Komentarz925;Grupa 1;Dzial 3;Izydor Patryk;2
51;Komentarz532;Grupa 0;Dzial 3;Jose Gilbert ;25
52;Komentarz490;Grupa 0;Dzial 3;Dennis Kelley ;21
53;Komentarz510;Grupa 0;Dzial 3;Naomi Shelton;4
54;Komentarz403;Grupa 0;Dzial 2;Allen Thompson;11
55;Komentarz583;Grupa 0;Dzial 2;Nora Roberts;16
56;Komentarz660;Grupa 2;Dzial 1;Marta Clarke;19
57;Komentarz134;Grupa 0;Dzial 2;Irene Sandoval;11
58;Komentarz308;Grupa 2;Dzial 1;Roy Weaver ;12
59;Komentarz130;Grupa 2;Dzial 2;Christina Nguyen;25
60;Komentarz446;Grupa 2;Dzial 1;Marta Clarke;14
61;Komentarz690;Grupa 1;Dzial 1;Luther Ramsey ;2
62;Komentarz113;Grupa 2;Dzial 1;Ramiro Thompson;8
63;Komentarz581;Grupa 1;Dzial 1;Orlando Delgado;20
64;Komentarz641;Grupa 1;Dzial 0;Rogelio Tucker;2
65;Komentarz747;Grupa 2;Dzial 1;Marta Clarke;19
66;Komentarz804;Grupa 1;Dzial 1;Ernestine Mathis ;13
