Numer;Komentarz;Grupa;Dzial;Osoba;Sciezka
1;Komentarz343;Grupa 0;Dzial 2;Cora Moody ;1
2;Komentarz43;Grupa 0;Dzial 3;Jose Gilbert ;2
3;Komentarz268;Grupa 1;Dzial 1;Orlando Delgado;3
4;Komentarz291;Grupa 0;Dzial 2;Irene Sandoval;4
5;Komentarz730;Grupa 2;Dzial 3;Shawn Santos ;5
6;Komentarz323;Grupa 2;Dzial 1;Roy Weaver ;6
7;Komentarz631;Grupa 2;Dzial 1;Marta Clarke;7
8;Komentarz228;Grupa 0;Dzial 3;Lorraine Cortez ;8
9;Komentarz660;Grupa 1;Dzial 1;Brett Swanson ;9
10;Komentarz225;Grupa 1;Dzial 1;Brett Swanson ;10
11;Komentarz400;Grupa 0;Dzial 2;Noah Barnes ;11
12;Komentarz257;Grupa 2;Dzial 3;Shawn Santos ;12
13;Komentarz735;Grupa 0;Dzial 3;Paulette Mcdaniel ;13
14;Komentarz638;Grupa 2;Dzial 1;Roy Weaver ;14
15;Komentarz879;Grupa 1;Dzial 3;Izydor Patryk;15
16;Komentarz207;Grupa 0;Dzial 2;Jenna Dean;16
17;Komentarz741;Grupa 1;Dzial 3;Rex Casey ;17
18;Komentarz814;Grupa 1;Dzial 0;Alison Lyons;18
19;Komentarz504;Grupa 2;Dzial 0;Cecelia Joseph;19
20;Komentarz752;Grupa 1;Dzial 3;Rex Casey ;20
21;Komentarz942;Grupa 2;Dzial 2;Guy Moran ;21
22;Komentarz405;Grupa 2;Dzial 1;Alan Underwood ;22
23;Komentarz574;Grupa 0;Dzial 3;Dennis Kelley ;23
24;Komentarz992;Grupa 0;Dzial 2;Noah Barnes ;24
25;Komentarz685;Grupa 1;Dzial 3;Rex Casey ;25
26;Komentarz46;Grupa 1;Dzial 3;Izydor Patryk;6/26
27;Komentarz818;Grupa 2;Dzial 1;Marta Clarke;14/27
28;Komentarz849;Grupa 1;Dzial 2;Tanya Bridges ;11/28
29;Komentarz529;Grupa 1;Dzial 1;Brett Swanson ;8/29
30;Komentarz857;Grupa 2;Dzial 1;Roy Weaver ;5/30
31;Komentarz790;Grupa 1;Dzial 3;Izydor Patryk;4/31
32;Komentarz695;Grupa 1;Dzial 0;Alison Lyons;9/32
33;Komentarz199;Grupa 2;Dzial 1;Ramiro Thompson;1/33
34;Komentarz972;Grupa 1;Dzial 2;Tanya Bridges ;10/34
