Numer_char,Komentarz,Grupa,Dzial,Osoba,sciezka_char
000001,Komentarz343,Grupa 0,Dzial 2,Cora Moody ,000001
000002,Komentarz43,Grupa 0,Dzial 3,Jose Gilbert ,000002
000003,Komentarz268,Grupa 1,Dzial 1,Orlando Delgado,000003
000004,Komentarz291,Grupa 0,Dzial 2,Irene Sandoval,000004
000005,Komentarz730,Grupa 2,Dzial 3,Shawn Santos ,000005
000006,Komentarz323,Grupa 2,Dzial 1,Roy Weaver ,000006
000007,Komentarz631,Grupa 2,Dzial 1,Marta Clarke,000007
000008,Komentarz228,Grupa 0,Dzial 3,Lorraine Cortez ,000008
000009,Komentarz660,Grupa 1,Dzial 1,Brett Swanson ,000009
000010,Komentarz225,Grupa 1,Dzial 1,Brett Swanson ,000010
000011,Komentarz400,Grupa 0,Dzial 2,Noah Barnes ,000011
000012,Komentarz257,Grupa 2,Dzial 3,Shawn Santos ,000012
000013,Komentarz735,Grupa 0,Dzial 3,Paulette Mcdaniel ,000013
000014,Komentarz638,Grupa 2,Dzial 1,Roy Weaver ,000014
000015,Komentarz879,Grupa 1,Dzial 3,Izydor Patryk,000015
000016,Komentarz207,Grupa 0,Dzial 2,Jenna Dean,000016
000017,Komentarz741,Grupa 1,Dzial 3,Rex Casey ,000017
000018,Komentarz814,Grupa 1,Dzial 0,Alison Lyons,000018
000019,Komentarz504,Grupa 2,Dzial 0,Cecelia Joseph,000019
000020,Komentarz752,Grupa 1,Dzial 3,Rex Casey ,000020
000021,Komentarz942,Grupa 2,Dzial 2,Guy Moran ,000021
000022,Komentarz405,Grupa 2,Dzial 1,Alan Underwood ,000022
000023,Komentarz574,Grupa 0,Dzial 3,Dennis Kelley ,000023
000024,Komentarz992,Grupa 0,Dzial 2,Noah Barnes ,000024
000025,Komentarz685,Grupa 1,Dzial 3,Rex Casey ,000025
000026,Komentarz46,Grupa 1,Dzial 3,Izydor Patryk,000006/000026
000027,Komentarz818,Grupa 2,Dzial 1,Marta Clarke,000014/000027
000028,Komentarz849,Grupa 1,Dzial 2,Tanya Bridges ,000011/000028
000029,Komentarz529,Grupa 1,Dzial 1,Brett Swanson ,000008/000029
000030,Komentarz857,Grupa 2,Dzial 1,Roy Weaver ,000005/000030
000031,Komentarz790,Grupa 1,Dzial 3,Izydor Patryk,000004/000031
000032,Komentarz695,Grupa 1,Dzial 0,Alison Lyons,000009/000032
000033,Komentarz199,Grupa 2,Dzial 1,Ramiro Thompson,000001/000033
000034,Komentarz972,Grupa 1,Dzial 2,Tanya Bridges ,000010/000034
000035,Komentarz844,Grupa 2,Dzial 0,Phil Briggs,000019/000035
000036,Komentarz104,Grupa 0,Dzial 3,Lorraine Cortez ,000004/000036
000037,Komentarz603,Grupa 1,Dzial 1,Ernestine Mathis ,000010/000037
000038,Komentarz972,Grupa 1,Dzial 1,Elizabeth Conner,000005/000038
000039,Komentarz954,Grupa 2,Dzial 1,Alan Underwood ,000006/000039
000040,Komentarz631,Grupa 2,Dzial 2,Christina Nguyen,000025/000040
000041,Komentarz97,Grupa 1,Dzial 0,Elsie Alvarez,000010/000041
000042,Komentarz629,Grupa 0,Dzial 2,Jenna Dean,000024/000042
000043,Komentarz252,Grupa 2,Dzial 2,Alberto Allison ,000023/000043
000044,Komentarz43,Grupa 0,Dzial 3,Lorraine Cortez ,000020/000044
000045,Komentarz518,Grupa 1,Dzial 1,Ernestine Mathis ,000006/000045
000046,Komentarz853,Grupa 2,Dzial 2,Christina Nguyen,000012/000046
000047,Komentarz281,Grupa 0,Dzial 3,Dennis Kelley ,000009/000047
000048,Komentarz168,Grupa 1,Dzial 1,Elizabeth Conner,000013/000048
000049,Komentarz503,Grupa 1,Dzial 0,Elsie Alvarez,000022/000049
000050,Komentarz632,Grupa 1,Dzial 3,Izydor Patryk,000002/000050
000051,Komentarz629,Grupa 0,Dzial 3,Jose Gilbert ,000025/000051
000052,Komentarz3,Grupa 0,Dzial 3,Dennis Kelley ,000021/000052
000053,Komentarz58,Grupa 0,Dzial 3,Naomi Shelton,000004/000053
000054,Komentarz52,Grupa 0,Dzial 2,Allen Thompson,000011/000054
000055,Komentarz716,Grupa 0,Dzial 2,Nora Roberts,000016/000055
000056,Komentarz265,Grupa 2,Dzial 1,Marta Clarke,000019/000056
000057,Komentarz947,Grupa 0,Dzial 2,Irene Sandoval,000011/000057
000058,Komentarz470,Grupa 2,Dzial 1,Roy Weaver ,000012/000058
000059,Komentarz276,Grupa 2,Dzial 2,Christina Nguyen,000025/000059
000060,Komentarz264,Grupa 2,Dzial 1,Marta Clarke,000014/000060
000061,Komentarz264,Grupa 1,Dzial 1,Luther Ramsey ,000002/000061
000062,Komentarz762,Grupa 2,Dzial 1,Ramiro Thompson,000008/000062
000063,Komentarz227,Grupa 1,Dzial 1,Orlando Delgado,000020/000063
000064,Komentarz987,Grupa 1,Dzial 0,Rogelio Tucker,000002/000064
000065,Komentarz749,Grupa 2,Dzial 1,Marta Clarke,000019/000065
000066,Komentarz38,Grupa 1,Dzial 1,Ernestine Mathis ,000013/000066
000067,Komentarz292,Grupa 2,Dzial 0,Cecelia Joseph,000009/000067
000068,Komentarz977,Grupa 1,Dzial 1,Luther Ramsey ,000009/000068
000069,Komentarz200,Grupa 2,Dzial 2,Christina Nguyen,000020/000069
000070,Komentarz351,Grupa 0,Dzial 2,Al Welch ,000012/000070
000071,Komentarz805,Grupa 1,Dzial 1,Elizabeth Conner,000018/000071
000072,Komentarz574,Grupa 2,Dzial 3,Shawn Santos ,000013/000072
000073,Komentarz484,Grupa 2,Dzial 1,Ramiro Thompson,000014/000073
000074,Komentarz641,Grupa 1,Dzial 0,Alison Lyons,000012/000074
000075,Komentarz795,Grupa 0,Dzial 2,Cora Moody ,000010/000075
000076,Komentarz935,Grupa 1,Dzial 0,Alison Lyons,000019/000076
000077,Komentarz721,Grupa 1,Dzial 3,Rex Casey ,000011/000077
000078,Komentarz290,Grupa 2,Dzial 1,Ramiro Thompson,000023/000078
000079,Komentarz931,Grupa 1,Dzial 1,Brett Swanson ,000021/000079
000080,Komentarz905,Grupa 2,Dzial 2,Alberto Allison ,000005/000080
000081,Komentarz521,Grupa 0,Dzial 3,Paulette Mcdaniel ,000022/000081
000082,Komentarz990,Grupa 0,Dzial 2,Noah Barnes ,000019/000082
000083,Komentarz697,Grupa 1,Dzial 1,Angelica Hale,000019/000083
000084,Komentarz337,Grupa 0,Dzial 1,Frederick Mclaughlin,000002/000084
000085,Komentarz707,Grupa 1,Dzial 0,Elsie Alvarez,000009/000085
000086,Komentarz763,Grupa 2,Dzial 1,Alan Underwood ,000018/000086
000087,Komentarz412,Grupa 0,Dzial 3,Naomi Shelton,000020/000087
000088,Komentarz500,Grupa 1,Dzial 3,Rex Casey ,000015/000088
000089,Komentarz252,Grupa 1,Dzial 1,Luther Ramsey ,000019/000089
000090,Komentarz902,Grupa 0,Dzial 1,Frederick Mclaughlin,000011/000090
000091,Komentarz167,Grupa 0,Dzial 1,Frederick Mclaughlin,000024/000091
000092,Komentarz792,Grupa 1,Dzial 1,Angelica Hale,000010/000092
000093,Komentarz528,Grupa 2,Dzial 2,Christina Nguyen,000017/000093
000094,Komentarz524,Grupa 2,Dzial 1,Ramiro Thompson,000022/000094
000095,Komentarz545,Grupa 0,Dzial 2,Nora Roberts,000014/000095
000096,Komentarz520,Grupa 2,Dzial 2,Christina Nguyen,000011/000096
000097,Komentarz788,Grupa 2,Dzial 0,Cecelia Joseph,000018/000097
000098,Komentarz905,Grupa 0,Dzial 2,Noah Barnes ,000013/000098
000099,Komentarz861,Grupa 0,Dzial 2,Allen Thompson,000016/000099
000100,Komentarz315,Grupa 2,Dzial 3,Corey Mccormick ,000016/000100
000101,Komentarz109,Grupa 0,Dzial 2,Allen Thompson,000014/000060/000101
000102,Komentarz34,Grupa 1,Dzial 3,Rex Casey ,000022/000049/000102
000103,Komentarz649,Grupa 1,Dzial 1,Luther Ramsey ,000009/000085/000103
000104,Komentarz69,Grupa 0,Dzial 2,Jenna Dean,000009/000085/000104
000105,Komentarz337,Grupa 1,Dzial 0,Rogelio Tucker,000006/000026/000105
000106,Komentarz94,Grupa 1,Dzial 1,Luther Ramsey ,000004/000053/000106
000107,Komentarz530,Grupa 2,Dzial 2,Guy Moran ,000012/000058/000107
000108,Komentarz27,Grupa 0,Dzial 3,Paulette Mcdaniel ,000011/000096/000108
000109,Komentarz637,Grupa 2,Dzial 1,Marta Clarke,000002/000061/000109
000110,Komentarz632,Grupa 1,Dzial 1,Angelica Hale,000005/000030/000110
000111,Komentarz69,Grupa 0,Dzial 2,Nora Roberts,000001/000033/000111
000112,Komentarz354,Grupa 2,Dzial 3,Shawn Santos ,000006/000039/000112
000113,Komentarz596,Grupa 1,Dzial 0,Rogelio Tucker,000008/000029/000113
000114,Komentarz45,Grupa 0,Dzial 3,Naomi Shelton,000025/000051/000114
000115,Komentarz647,Grupa 0,Dzial 2,Al Welch ,000009/000085/000115
000116,Komentarz224,Grupa 2,Dzial 2,Alberto Allison ,000014/000027/000116
000117,Komentarz86,Grupa 0,Dzial 3,Paulette Mcdaniel ,000010/000075/000117
000118,Komentarz60,Grupa 2,Dzial 1,Alan Underwood ,000019/000035/000118
000119,Komentarz709,Grupa 0,Dzial 3,Dennis Kelley ,000010/000034/000119
000120,Komentarz992,Grupa 2,Dzial 2,Alberto Allison ,000005/000080/000120
000121,Komentarz53,Grupa 1,Dzial 2,Tanya Bridges ,000010/000041/000121
000122,Komentarz440,Grupa 0,Dzial 2,Noah Barnes ,000011/000057/000122
000123,Komentarz243,Grupa 2,Dzial 1,Marta Clarke,000025/000059/000123
000124,Komentarz377,Grupa 2,Dzial 1,Diana Pierce ,000009/000085/000124
000125,Komentarz920,Grupa 1,Dzial 1,Elizabeth Conner,000017/000093/000125
000126,Komentarz702,Grupa 2,Dzial 2,Christina Nguyen,000002/000061/000126
000127,Komentarz960,Grupa 2,Dzial 2,Christina Nguyen,000011/000054/000127
000128,Komentarz238,Grupa 1,Dzial 3,Rex Casey ,000018/000071/000128
000129,Komentarz683,Grupa 2,Dzial 2,Guy Moran ,000010/000037/000129
000130,Komentarz596,Grupa 1,Dzial 0,Elsie Alvarez,000010/000041/000130
000131,Komentarz71,Grupa 0,Dzial 2,Nora Roberts,000012/000046/000131
000132,Komentarz294,Grupa 2,Dzial 0,Cecelia Joseph,000014/000095/000132
000133,Komentarz164,Grupa 1,Dzial 1,Ernestine Mathis ,000014/000060/000133
000134,Komentarz351,Grupa 0,Dzial 2,Bernard Ellis ,000012/000074/000134
000135,Komentarz471,Grupa 1,Dzial 1,Orlando Delgado,000019/000076/000135
000136,Komentarz293,Grupa 0,Dzial 3,Dennis Kelley ,000011/000077/000136
000137,Komentarz23,Grupa 0,Dzial 3,Janie Grant,000009/000047/000137
000138,Komentarz780,Grupa 1,Dzial 1,Elizabeth Conner,000006/000026/000138
000139,Komentarz211,Grupa 2,Dzial 0,Phil Briggs,000022/000081/000139
000140,Komentarz265,Grupa 2,Dzial 3,Corey Mccormick ,000004/000053/000140
000141,Komentarz866,Grupa 0,Dzial 3,Lorraine Cortez ,000021/000052/000141
000142,Komentarz671,Grupa 2,Dzial 1,Alan Underwood ,000023/000078/000142
000143,Komentarz449,Grupa 0,Dzial 2,Allen Thompson,000005/000080/000143
000144,Komentarz461,Grupa 0,Dzial 2,Cora Moody ,000014/000027/000144
000145,Komentarz97,Grupa 0,Dzial 3,Naomi Shelton,000025/000051/000145
000146,Komentarz358,Grupa 2,Dzial 3,Corey Mccormick ,000020/000063/000146
